Date,Open,High,Low,Close,Adj Close,Volume
2015-06-25,12942.900391,13066.200195,12926.349609,13053.099609,13053.099609,0
2015-06-26,13029.500000,13076.349609,12962.099609,13066.250000,13066.250000,0
2015-06-29,12794.950195,12867.700195,12700.450195,12863.650391,12863.650391,0
2015-06-30,12867.250000,13020.599609,12867.250000,13009.650391,13009.650391,0
2015-07-01,13049.349609,13237.349609,13049.349609,13204.400391,13204.400391,0
2015-07-02,13263.750000,13374.250000,13263.750000,13313.900391,13313.900391,0
2015-07-03,13344.700195,13400.299805,13248.450195,13279.950195,13279.950195,0
2015-07-06,13109.150391,13420.450195,13094.549805,13414.200195,13414.200195,0
2015-07-07,13467.849609,13521.900391,13403.400391,13475.700195,13475.700195,0
2015-07-08,13371.500000,13473.400391,13233.349609,13308.500000,13308.500000,0
2015-07-09,13346.000000,13379.150391,13244.849609,13261.150391,13261.150391,0
2015-07-10,13322.799805,13351.099609,13221.599609,13260.400391,13260.400391,0
2015-07-13,13307.349609,13438.450195,13297.349609,13433.450195,13433.450195,0
2015-07-14,13469.250000,13520.000000,13431.099609,13469.750000,13469.750000,0
2015-07-15,13503.299805,13567.200195,13484.549805,13513.349609,13513.349609,0
2015-07-16,13554.000000,13692.049805,13554.000000,13680.900391,13680.900391,0
2015-07-17,13733.549805,13771.099609,13676.250000,13725.849609,13725.849609,0
2015-07-20,13769.950195,13781.450195,13711.900391,13759.799805,13759.799805,0
2015-07-21,13783.750000,13791.900391,13498.250000,13527.799805,13527.799805,0
2015-07-22,13525.150391,13672.549805,13512.950195,13663.799805,13663.799805,0
2015-07-23,13714.250000,13756.599609,13673.599609,13687.000000,13687.000000,0
2015-07-24,13710.549805,13742.750000,13568.299805,13584.549805,13584.549805,0
2015-07-27,13570.099609,13570.099609,13402.150391,13411.549805,13411.549805,0
2015-07-28,13461.400391,13470.299805,13336.150391,13349.650391,13349.650391,0
2015-07-29,13402.049805,13473.950195,13374.349609,13457.349609,13457.349609,0
2015-07-30,13525.049805,13613.799805,13517.799805,13568.150391,13568.150391,0
